[0.000000] (-) TimerEvent: {}
[0.000262] (fireye_world) JobQueued: {'identifier': 'fireye_world', 'dependencies': OrderedDict()}
[0.000319] (fireye_world) JobStarted: {'identifier': 'fireye_world'}
[0.006920] (fireye_world) JobProgress: {'identifier': 'fireye_world', 'progress': 'cmake'}
[0.007856] (fireye_world) JobProgress: {'identifier': 'fireye_world', 'progress': 'build'}
[0.008852] (fireye_world) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/build/fireye_world', '--', '-j22', '-l22'], 'cwd': '/home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/build/fireye_world', 'env': OrderedDict({'LESSOPEN': '| /usr/bin/lesspipe %s', 'GZ_SIM_RESOURCE_PATH': '/opt/ros/jazzy/share:/home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/src/fireye_world', 'USER': 'grey', 'GZ_CONFIG_PATH': '/opt/ros/jazzy/opt/gz_sim_vendor/share/gz:/opt/ros/jazzy/opt/sdformat_vendor/share/gz:/opt/ros/jazzy/opt/gz_gui_vendor/share/gz:/opt/ros/jazzy/opt/gz_transport_vendor/share/gz:/opt/ros/jazzy/opt/gz_rendering_vendor/share/gz:/opt/ros/jazzy/opt/gz_plugin_vendor/share/gz:/opt/ros/jazzy/opt/gz_fuel_tools_vendor/share/gz:/opt/ros/jazzy/opt/gz_msgs_vendor/share/gz:/opt/ros/jazzy/opt/gz_common_vendor/share/gz', 'XDG_SESSION_TYPE': 'wayland', 'SHLVL': '1', 'LD_LIBRARY_PATH': '/home/grey/turtlebot3_ws/install/custom_interface/lib:/opt/ros/jazzy/opt/gz_sim_vendor/lib:/opt/ros/jazzy/opt/gz_sensors_vendor/lib:/opt/ros/jazzy/opt/gz_physics_vendor/lib:/opt/ros/jazzy/opt/sdformat_vendor/lib:/opt/ros/jazzy/opt/rviz_ogre_vendor/lib:/opt/ros/jazzy/lib/x86_64-linux-gnu:/opt/ros/jazzy/opt/gz_gui_vendor/lib:/opt/ros/jazzy/opt/gz_transport_vendor/lib:/opt/ros/jazzy/opt/gz_rendering_vendor/lib:/opt/ros/jazzy/opt/gz_plugin_vendor/lib:/opt/ros/jazzy/opt/gz_fuel_tools_vendor/lib:/opt/ros/jazzy/opt/gz_msgs_vendor/lib:/opt/ros/jazzy/opt/gz_common_vendor/lib:/opt/ros/jazzy/opt/gz_math_vendor/lib:/opt/ros/jazzy/opt/gz_utils_vendor/lib:/opt/ros/jazzy/opt/gz_tools_vendor/lib:/opt/ros/jazzy/opt/gz_ogre_next_vendor/lib:/opt/ros/jazzy/opt/gz_dartsim_vendor/lib:/opt/ros/jazzy/opt/gz_cmake_vendor/lib:/opt/ros/jazzy/lib', 'HOME': '/home/grey', 'DESKTOP_SESSION': 'ubuntu', 'ROS_PYTHON_VERSION': '3', 'GNOME_SHELL_SESSION_MODE': 'ubuntu', 'GTK_MODULES': 'gail:atk-bridge', 'DBUS_STARTER_BUS_TYPE': 'session', 'SYSTEMD_EXEC_PID': '2546', 'ROS_LOG_DIR': '/home/grey/my_logs', 'GSM_SKIP_SSH_AGENT_WORKAROUND': 'true', 'DBUS_SESSION_BUS_ADDRESS': 'unix:path=/run/user/1000/bus,guid=e4c7196e1697b89934477bbe69bdc316', 'COLORTERM': 'truecolor', 'DEBUGINFOD_URLS': 'https://debuginfod.ubuntu.com', 'IM_CONFIG_PHASE': '1', 'WAYLAND_DISPLAY': 'wayland-0', 'COLCON_PREFIX_PATH': '/home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install:/home/grey/turtlebot3_ws/install', 'ROS_DISTRO': 'jazzy', 'LOGNAME': 'grey', '_': '/usr/bin/colcon', 'ROS_VERSION': '2', 'MEMORY_PRESSURE_WATCH': '/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/app.slice/app-gnome\\x2dsession\\x2dmanager.slice/gnome-session-manager@ubuntu.service/memory.pressure', 'XDG_SESSION_CLASS': 'user', 'USERNAME': 'grey', 'TERM': 'xterm-256color', 'GAZEBO_MODEL_PATH': ':/home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/src/fireye_world/models', 'GNOME_DESKTOP_SESSION_ID': 'this-is-deprecated', 'PATH': '/opt/ros/jazzy/opt/gz_msgs_vendor/bin:/opt/ros/jazzy/opt/gz_tools_vendor/bin:/opt/ros/jazzy/opt/gz_ogre_next_vendor/bin:/opt/ros/jazzy/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/snap/bin', 'SESSION_MANAGER': 'local/grey-Prestige-16-AI-Studio-B1VFG:@/tmp/.ICE-unix/2546,unix/grey-Prestige-16-AI-Studio-B1VFG:/tmp/.ICE-unix/2546', 'XDG_MENU_PREFIX': 'gnome-', 'GNOME_TERMINAL_SCREEN': '/org/gnome/Terminal/screen/16d23ca2_2f8e_4796_b72b_d2e8cba87e5e', 'GNOME_SETUP_DISPLAY': ':1', 'XDG_RUNTIME_DIR': '/run/user/1000', 'DISPLAY': ':0', 'LANG': 'es_ES.UTF-8', 'XDG_CURRENT_DESKTOP': 'ubuntu:GNOME', 'XMODIFIERS': '@im=ibus', 'XDG_SESSION_DESKTOP': 'ubuntu', 'XAUTHORITY': '/run/user/1000/.mutter-Xwaylandauth.JPTIM3', 'GZ_RESOURCE_PATH': ':/home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/src/fireye_world', 'LS_COLORS': 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=00:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.avif=01;35:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:*~=00;90:*#=00;90:*.bak=00;90:*.crdownload=00;90:*.dpkg-dist=00;90:*.dpkg-new=00;90:*.dpkg-old=00;90:*.dpkg-tmp=00;90:*.old=00;90:*.orig=00;90:*.part=00;90:*.rej=00;90:*.rpmnew=00;90:*.rpmorig=00;90:*.rpmsave=00;90:*.swp=00;90:*.tmp=00;90:*.ucf-dist=00;90:*.ucf-new=00;90:*.ucf-old=00;90:', 'GNOME_TERMINAL_SERVICE': ':1.108', 'SSH_AUTH_SOCK': '/run/user/1000/keyring/ssh', 'ROS_DOMAIN_ID': '6', 'AMENT_PREFIX_PATH': '/home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world:/home/grey/turtlebot3_ws/install/turtlebot3_simulations:/home/grey/turtlebot3_ws/install/turtlebot3_gazebo:/home/grey/turtlebot3_ws/install/turtlebot3_fake_node:/home/grey/turtlebot3_ws/install/show_msg:/home/grey/turtlebot3_ws/install/my_world:/home/grey/turtlebot3_ws/install/my_first_subscriber:/home/grey/turtlebot3_ws/install/my_first_service:/home/grey/turtlebot3_ws/install/my_first_publisher:/home/grey/turtlebot3_ws/install/my_first_node:/home/grey/turtlebot3_ws/install/my_first_action:/home/grey/turtlebot3_ws/install/custom_interface:/opt/ros/jazzy', 'SHELL': '/bin/bash', 'QT_ACCESSIBILITY': '1', 'GDMSESSION': 'ubuntu', 'LESSCLOSE': '/usr/bin/lesspipe %s %s', 'GAZEBO_RESOURCE_PATH': ':/home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/src/fireye_world', 'ROS_AUTOMATIC_DISCOVERY_RANGE': 'SUBNET', 'QT_IM_MODULE': 'ibus', 'PWD': '/home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/build/fireye_world', 'TURTLEBOT3_MODEL': 'burger', 'XDG_CONFIG_DIRS': '/etc/xdg/xdg-ubuntu:/etc/xdg', 'DBUS_STARTER_ADDRESS': 'unix:path=/run/user/1000/bus,guid=e4c7196e1697b89934477bbe69bdc316', 'XDG_DATA_DIRS': '/usr/share/ubuntu:/usr/share/gnome:/home/grey/.local/share/flatpak/exports/share:/var/lib/flatpak/exports/share:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop', 'PYTHONPATH': '/home/grey/turtlebot3_ws/install/show_msg/lib/python3.12/site-packages:/home/grey/turtlebot3_ws/install/my_first_subscriber/lib/python3.12/site-packages:/home/grey/turtlebot3_ws/install/my_first_service/lib/python3.12/site-packages:/home/grey/turtlebot3_ws/install/my_first_publisher/lib/python3.12/site-packages:/home/grey/turtlebot3_ws/install/my_first_node/lib/python3.12/site-packages:/home/grey/turtlebot3_ws/install/my_first_action/lib/python3.12/site-packages:/home/grey/turtlebot3_ws/install/custom_interface/lib/python3.12/site-packages:/opt/ros/jazzy/lib/python3.12/site-packages', 'COLCON': '1', 'MEMORY_PRESSURE_WRITE': 'c29tZSAyMDAwMDAgMjAwMDAwMAA=', 'VTE_VERSION': '7600', 'CMAKE_PREFIX_PATH': '/home/grey/Documentos/GitHub/Proyecto-Robotica-Fireye/fireye/ros2_ws/install/fireye_world:/home/grey/turtlebot3_ws/install/turtlebot3_simulations:/home/grey/turtlebot3_ws/install/turtlebot3_gazebo:/home/grey/turtlebot3_ws/install/turtlebot3_fake_node:/home/grey/turtlebot3_ws/install/my_world:/home/grey/turtlebot3_ws/install/custom_interface:/opt/ros/jazzy/opt/gz_sim_vendor:/opt/ros/jazzy/opt/gz_sensors_vendor:/opt/ros/jazzy/opt/gz_physics_vendor:/opt/ros/jazzy/opt/sdformat_vendor:/opt/ros/jazzy/opt/gz_gui_vendor:/opt/ros/jazzy/opt/gz_transport_vendor:/opt/ros/jazzy/opt/gz_rendering_vendor:/opt/ros/jazzy/opt/gz_plugin_vendor:/opt/ros/jazzy/opt/gz_fuel_tools_vendor:/opt/ros/jazzy/opt/gz_msgs_vendor:/opt/ros/jazzy/opt/gz_common_vendor:/opt/ros/jazzy/opt/gz_math_vendor:/opt/ros/jazzy/opt/gz_utils_vendor:/opt/ros/jazzy/opt/gz_tools_vendor:/opt/ros/jazzy/opt/gz_ogre_next_vendor:/opt/ros/jazzy/opt/gz_dartsim_vendor:/opt/ros/jazzy/opt/gz_cmake_vendor:/home/grey/turtlebot3_ws/install/show_msg:/home/grey/turtlebot3_ws/install/my_first_subscriber:/home/grey/turtlebot3_ws/install/my_first_service:/home/grey/turtlebot3_ws/install/my_first_publisher:/home/grey/turtlebot3_ws/install/my_first_node:/home/grey/turtlebot3_ws/install/my_first_action:/opt/ros/jazzy'}), 'shell': False}
[0.054944] (fireye_world) StdoutLine: {'line': b'[ 25%] Built target obstacle2\n'}
[0.057642] (fireye_world) StdoutLine: {'line': b'[ 50%] Built target obstacle1\n'}
[0.057905] (fireye_world) StdoutLine: {'line': b'[ 75%] Built target obstacles\n'}
[0.060312] (fireye_world) StdoutLine: {'line': b'[100%] Built target turtlebot3_drive\n'}
[0.068835] (fireye_world) CommandEnded: {'returncode': 0}
[0.069323] (fireye_world) JobProgress: {'identifier': 'fireye_world', 'progress': 'install'}
